company_name,website,emails,email_guesses,roles,funding_stage,batch,location,job_type,description,company_url,source,scraped_at
Mason,http://www.bymason.com,,"careers@www.bymason.com, founders@www.bymason.com, hello@www.bymason.com, hr@www.bymason.com, j.xiao@www.bymason.com, jim.xiao@www.bymason.com, jim@www.bymason.com, jimxiao@www.bymason.com, jxiao@www.bymason.com",Full Stack Software Engineer,Scaling Up,W16,"Seattle, WA",fulltime,Mason is the fastest way to take smart devices from idea to end user,https://www.workatastartup.com/companies/mason,Y Combinator,2026-02-27 19:34
SnapMagic,https://www.snapmagic.com,,"careers@www.snapmagic.com, founders@www.snapmagic.com, hello@www.snapmagic.com, hr@www.snapmagic.com, n.baker@www.snapmagic.com, natasha.baker@www.snapmagic.com, natasha@www.snapmagic.com, natashabaker@www.snapmagic.com, nbaker@www.snapmagic.com",Director of Software & Product,Scaling Up,S15,"Redwood City, CA, US / Remote (Redwood City, CA, US)",fulltime,AI copilot for electronics design,https://www.workatastartup.com/companies/snapmagic,Y Combinator,2026-02-27 19:34
Hive,http://www.hive.co,,"careers@www.hive.co, founders@www.hive.co, hello@www.hive.co, hr@www.hive.co, i.roberts@www.hive.co, ian.roberts@www.hive.co, ian@www.hive.co, ianroberts@www.hive.co, iroberts@www.hive.co, p.hannigan@www.hive.co, patrick.hannigan@www.hive.co, patrick@www.hive.co, patrickhannigan@www.hive.co, phannigan@www.hive.co",Senior Backend Software Engineer,Scaling Up,S14,CA / Remote (CA),fulltime,"Marketing automation for event promoters (email, sms, ads, CRM)",https://www.workatastartup.com/companies/hive,Y Combinator,2026-02-27 19:34
Tenjin,https://www.tenjin.com,,"a.manji@www.tenjin.com, amanji@www.tenjin.com, amir.manji@www.tenjin.com, amir@www.tenjin.com, amirmanji@www.tenjin.com, c.farm@www.tenjin.com, careers@www.tenjin.com, cfarm@www.tenjin.com, christopher.farm@www.tenjin.com, christopher@www.tenjin.com, christopherfarm@www.tenjin.com, founders@www.tenjin.com, hello@www.tenjin.com, hr@www.tenjin.com",Senior Mobile SDK Engineer,Scaling Up,S14,San Francisco / Remote (US; CA; MX; CO; AR; BR; PE),fulltime,Mobile marketing analytics and infrastructure,https://www.workatastartup.com/companies/tenjin,Y Combinator,2026-02-27 19:34
Noora Health,http://noorahealth.org,,"careers@noorahealth.org, e.elliott@noorahealth.org, edith.elliott@noorahealth.org, edith@noorahealth.org, edithelliott@noorahealth.org, eelliott@noorahealth.org, founders@noorahealth.org, hello@noorahealth.org, hr@noorahealth.org",Product Development Engineer (Backend),Scaling Up,W14,"Bengaluru, KA, IN / Bengaluru, Karnataka, IN",fulltime,Training patients and their families with health skills,https://www.workatastartup.com/companies/noora-health,Y Combinator,2026-02-27 19:34
Oximy,https://oximy.com,,"careers@oximy.com, founders@oximy.com, hello@oximy.com, hr@oximy.com, n.ambavi@oximy.com, naman.ambavi@oximy.com, naman@oximy.com, namanambavi@oximy.com, nambavi@oximy.com",Founding Full Stack Engineer,Early Stage,W26,"San Francisco, CA, US",fulltime,The system of record for enterprise AI usage.,https://www.workatastartup.com/companies/oximy,Y Combinator,2026-02-27 19:34
Clicks,https://goclicks.ai,,"careers@goclicks.ai, d.helmreich@goclicks.ai, dhelmreich@goclicks.ai, dominik.helmreich@goclicks.ai, dominik@goclicks.ai, dominikhelmreich@goclicks.ai, founders@goclicks.ai, hello@goclicks.ai, hr@goclicks.ai, o.knapp@goclicks.ai, oknapp@goclicks.ai, oliver.knapp@goclicks.ai, oliver@goclicks.ai, oliverknapp@goclicks.ai",Software Engineer,Early Stage,F25,"Zürich, ZH, CH",fulltime,Computer use agents to automate all back-office work,https://www.workatastartup.com/companies/clicks,Y Combinator,2026-02-27 19:34
Lightberry,https://lightberry.com,,"a.attar@lightberry.com, aattar@lightberry.com, ali.attar@lightberry.com, ali@lightberry.com, aliattar@lightberry.com, careers@lightberry.com, founders@lightberry.com, hello@lightberry.com, hr@lightberry.com, s.koenigstorfer@lightberry.com, s.wolski@lightberry.com, skoenigstorfer@lightberry.com, stephan.koenigstorfer@lightberry.com, stephan.wolski@lightberry.com, stephan@lightberry.com, stephankoenigstorfer@lightberry.com, stephanwolski@lightberry.com, swolski@lightberry.com",Robotics Engineer,Early Stage,F25,"San Francisco, CA, US",fulltime,The social brain for robots.,https://www.workatastartup.com/companies/lightberry,Y Combinator,2026-02-27 19:34
Icarus,https://www.icarus.one,,"careers@www.icarus.one, founders@www.icarus.one, h.kwan@www.icarus.one, hello@www.icarus.one, henry.kwan@www.icarus.one, henry@www.icarus.one, henrykwan@www.icarus.one, hkwan@www.icarus.one, hr@www.icarus.one",Senior Electrical Engineer,Early Stage,F25,"Los Angeles, CA, US",fulltime,Stratospheric birds for defense,https://www.workatastartup.com/companies/icarus,Y Combinator,2026-02-27 19:34
Leadbay,https://leadbay.ai,,"careers@leadbay.ai, founders@leadbay.ai, hello@leadbay.ai, hr@leadbay.ai, l.granger@leadbay.ai, lgranger@leadbay.ai, ludovic.granger@leadbay.ai, ludovic@leadbay.ai, ludovicgranger@leadbay.ai, m.stankovic@leadbay.ai, milan.stankovic@leadbay.ai, milan@leadbay.ai, milanstankovic@leadbay.ai, mstankovic@leadbay.ai",Backend Engineer,Early Stage,F25,"Paris, IDF, FR / Paris, Île-de-France, FR / San Francisco, CA, US",fulltime,Discover and qualify SMB leads that couldn't be found before.,https://www.workatastartup.com/companies/leadbay,Y Combinator,2026-02-27 19:34
